183007,Er prügelte ihm die Seele aus dem Leib,11,1,1
38941,Er feuerte ihn,11,10,2
436825,Sie holt sich den Tod,11,11,3
401580,Sie ist nur noch Haut und Knochen,11,12,4
120533,Sie ist ihr ein Dorn im Auge,11,17,5
440853,Sie spuckte Gift und Galle,11,19,6
76208,Sie machte ihn zur Sau,11,20,7
144732,Er ist ein Waschlappen,11,21,8
32874,Er benimmt sich wie ein Elefant im Porzellanladen,11,28,9
296837,Sie verpasste ihm einen Denkzettel,11,29,10
412648,Er ist über alle Berge,22,32,11
79243,Er plaudert aus dem Nähkästchen,22,35,12
330094,Er träumt in den Tag hinein,22,38,13
237400,Sie wägt ihre Worte ab,22,43,14
432785,Sie hält ihre Zunge im Zaum,22,48,15
285769,Sie ist zäh wie Leder,22,50,16
98380,Er lässt sich deswegen keine grauen Haare wachsen,22,54,17
316997,Es ist in aller Munde,22,55,18
130636,Sie trägt das Herz auf der Zunge,22,56,19
136669,Er spitzte die Ohren,22,59,20
210228,Er schwimmt im Geld,33,62,21
424711,Er ist wie aus dem Ei gepellt,33,63,22
270633,Sie hat Geld ohne Ende,33,64,23
289809,Er lässt sein Herz sprechen,33,65,24
355271,Sie ist in der Blüte ihrer Jahre,33,69,25
218262,Es ist eine Augenweide,33,76,26
101408,Er hat einen guten Draht zu ihm,33,79,27
24800,Er folgt der Stimme seines Herzens,33,81,28
166876,Er hat Schmetterlinge im Bauch,33,87,29
449916,Er schwebt auf Wolke sieben,33,90,30
179978,Er ist daran verzweifelt,44,91,31
73175,Sie wird dafür hart bestraft,44,94,32
7692,Sie macht sich Sorgen um ihre Zukunft,44,101,33
392506,Sie ist sehr unaufrichtig,44,105,34
18765,Das ist eine traurige Geschichte,44,108,35
163842,Sie ist überarbeitet,44,110,36
175943,Sie hat einen Schnupfen,44,112,37
300867,Sie ist schlechter Stimmung,44,113,38
35908,Er kann das nicht mehr leiden,44,115,39
48015,Sie lag erschöpft im Bett,44,119,40
257530,Es macht keinen Unterschied für ihn,55,124,41
67146,Er denkt jetzt daran,55,127,42
169909,Sie erzählt was passiert ist,55,130,43
364345,Er schreibt seine Gedanken auf,55,137,44
104442,Es wurde heute aufgeräumt,55,143,45
123573,Er bereitet sich darauf vor,55,144,46
352237,Es ist nicht so schwierig,55,145,47
349198,Er merkt wie sich die Sachen entwickeln,55,147,48
222302,Sie versteht was er meint,55,149,49
253503,Sie strukturiert ihre Arbeit,55,150,50
226331,Er ist auf seinen Sohn sehr stolz,66,163,51
58077,Sie genießt ihre Freizeit,66,164,52
416683,Das war eine schöne Erinnerung,66,166,53
160802,Er wird freundlich aufgenommen,66,167,54
94346,Sie fühlt sich gesund und aktiv,66,170,55
190073,Sie freut sich auf den Urlaub,66,173,56
320026,Er hat im Lotto gewonnen,66,174,57
29834,Er genießt die Gesellschaft,66,176,58
280741,Sie machen heute ein Picknick am Strand,66,177,59
63107,Er ist total zufrieden mit sich,66,179,60
443882,#### #### ###### ##### ####,77,182,71
203171,####### ### ###### ######### ##### ####,77,183,
244434,### #### ##### ######## #### ###,77,186,
112505,##### ##### #### ###### ##### ######## ###### ####,77,187,
312969,## ##### ##### ##### ######,77,188,
303895,#### ###### ####### #####,77,191,
234359,### ##### ### ##### ####,77,195,
406607,## ##### ### #####,77,198,
108475,## ### ###### ######,77,208,
453951,### ####### #### ### ######,77,211,
127608,## ### ## ######### ###### ### #####,77,213,
370373,### ### #### ### #####,77,214,
91317,## ### ### ### ### ### ####### ##,77,217,
207200,### ### ## ### ##### ###### #####,77,224,
12725,## ##### ## #### ### #####,77,228,
186040,#### #### ### ##### ### #####,77,229,
381436,#### ###### #########,77,233,
265599,#### ##### ##### ##### ####,77,237,
389466,## ### ####### #######,77,242,
196103,## #### #### ##### ### ### #####,77,248,
140704,#### ###### ####### #########,77,251,
427752,#### ### ########## #########,77,252,
84277,### #### #### #### ###### ######,77,254,
273672,### #### ##### ##### #####,77,258,
51044,### ######### #### ########### ### ### ######,77,260,
308929,## ######## ##### #####,77,264,
276706,### ####### #### ######## ## ###,77,266,
199138,### ##### ####### ### ### ### ######### #####,77,267,
335123,## ##### ###### ###########,77,268,
374408,## ##### ###### ##### #####,77,270,
4658,Es hat viel damit zu tun,99,273,61
1624,Sie ist sehr konzentriert,99,276,62
41975,Wurde ihm gekündigt?,88,909,63
150761,Ist er mutig und erfolgreich?,88,910,64
247462,Wurden dir soeben Dreiecke gezeigt?,88,911,65
260559,Entstehen ihm dadurch Nachteile?,88,912,66
324060,Hat er die richtigen Zahlen gewählt?,88,913,67
342163,Wurden dir soeben viele Rautezeichen gezeigt?,88,914,68
358305,Ist sie momentan im besten Alter?,88,915,69
395540,Ist sie eine ehrliche Person?,88,916,70